country_code,country_name,year,non-resident,resident,total
,Lower middle income,2017,56400.0,38800.0,95200.0
,Lower middle income,2018,62200.0,36300.0,98500.0
,Lower middle income,2019,64300.0,41100.0,105400.0
,Lower middle income,2020,62500.0,42400.0,104900.0
,Upper middle income,1997,80200.0,37000.0,117200.0
,Upper middle income,1998,101300.0,39600.0,140900.0
,Upper middle income,1999,102000.0,45700.0,147700.0
,Upper middle income,2000,97600.0,60000.0,157600.0
,Upper middle income,2001,107100.0,66900.0,174000.0
,Upper middle income,2002,108900.0,76000.0,184900.0
,Upper middle income,2003,113800.0,95600.0,209400.0
,Upper middle income,2004,129600.0,104800.0,234400.0
,Upper middle income,2005,153700.0,135300.0,289000.0
,Upper middle income,2006,166900.0,170400.0,337300.0
,Upper middle income,2007,174700.0,207000.0,381700.0
,Upper middle income,2008,185000.0,253900.0,438900.0
,Upper middle income,2009,164900.0,284200.0,449100.0
,Upper middle income,2010,174600.0,340900.0,515500.0
,Upper middle income,2011,193700.0,462100.0,655800.0
,Upper middle income,2012,207200.0,584600.0,791800.0
,Upper middle income,2013,210500.0,754800.0,965300.0
,Upper middle income,2014,219500.0,845100.0,1064600.0
,Upper middle income,2015,227300.0,1018100.0,1245400.0
,Upper middle income,2016,219700.0,1253900.0,1473600.0
,Upper middle income,2017,218400.0,1292700.0,1511100.0
,Upper middle income,2018,228100.0,1441100.0,1669200.0
,Upper middle income,2019,236700.0,1289800.0,1526500.0
,Upper middle income,2020,225900.0,1391200.0,1617100.0
ABW,Aruba,2002,,1.0,1.0
AGO,Angola,1992,2.0,4.0,6.0
AGO,Angola,2018,114.0,6.0,120.0
AGO,Angola,2019,108.0,2.0,110.0
ALB,Albania,1997,9.0,,9.0
ALB,Albania,2001,120.0,,120.0
ALB,Albania,2002,238.0,,238.0
ALB,Albania,2003,391.0,,391.0
ALB,Albania,2005,386.0,,386.0
ALB,Albania,2009,361.0,,361.0
ALB,Albania,2011,8.0,3.0,11.0
ALB,Albania,2013,4.0,,4.0
ALB,Albania,2014,3.0,10.0,13.0
ALB,Albania,2015,5.0,14.0,19.0
ALB,Albania,2016,5.0,20.0,25.0
ALB,Albania,2017,8.0,16.0,24.0
ALB,Albania,2018,3.0,15.0,18.0
ALB,Albania,2019,1.0,4.0,5.0
ALB,Albania,2021,1.0,23.0,24.0
AND,Andorra,2016,3.0,,3.0
AND,Andorra,2017,6.0,,6.0
AND,Andorra,2018,10.0,1.0,11.0
AND,Andorra,2019,12.0,3.0,15.0
AND,Andorra,2020,5.0,3.0,8.0
AND,Andorra,2021,8.0,3.0,11.0
ARE,United Arab Emirates,2010,1263.0,25.0,1288.0
ARE,United Arab Emirates,2011,1318.0,33.0,1351.0
ARE,United Arab Emirates,2012,1327.0,23.0,1350.0
ARE,United Arab Emirates,2013,1402.0,21.0,1423.0
ARE,United Arab Emirates,2014,1438.0,29.0,1467.0
ARE,United Arab Emirates,2015,1714.0,35.0,1749.0
ARE,United Arab Emirates,2016,1642.0,57.0,1699.0
ARE,United Arab Emirates,2017,1733.0,63.0,1796.0
ARE,United Arab Emirates,2018,1723.0,57.0,1780.0
ARE,United Arab Emirates,2019,1843.0,55.0,1898.0
ARE,United Arab Emirates,2020,1869.0,39.0,1908.0
ARE,United Arab Emirates,2021,2354.0,69.0,2423.0
ARG,Argentina,1980,3063.0,1269.0,4332.0
ARG,Argentina,1981,3321.0,954.0,4275.0
ARG,Argentina,1982,2793.0,951.0,3744.0
ARG,Argentina,1983,2443.0,1102.0,3545.0
ARG,Argentina,1984,2656.0,1182.0,3838.0
ARG,Argentina,1990,1955.0,955.0,2910.0
ARG,Argentina,1991,1851.0,943.0,2794.0
ARG,Argentina,1992,1919.0,503.0,2422.0
ARG,Argentina,1993,2261.0,787.0,3048.0
ARG,Argentina,1994,2820.0,694.0,3514.0
ARG,Argentina,1995,3588.0,676.0,4264.0
ARG,Argentina,1996,4012.0,1097.0,5109.0
ARG,Argentina,1997,5035.0,824.0,5859.0
ARG,Argentina,1998,5459.0,861.0,6320.0
ARG,Argentina,1999,5558.0,899.0,6457.0
ARG,Argentina,2000,5574.0,1062.0,6636.0
ARG,Argentina,2001,5088.0,691.0,5779.0
ARG,Argentina,2002,4143.0,718.0,4861.0
ARG,Argentina,2003,3765.0,792.0,4557.0
ARG,Argentina,2004,3816.0,786.0,4602.0
ARG,Argentina,2005,4215.0,1054.0,5269.0
ARG,Argentina,2006,4597.0,1020.0,5617.0
ARG,Argentina,2007,4806.0,937.0,5743.0
ARG,Argentina,2008,4781.0,801.0,5582.0
ARG,Argentina,2009,4336.0,640.0,4976.0
ARG,Argentina,2010,4165.0,552.0,4717.0
ARG,Argentina,2011,4133.0,688.0,4821.0
ARG,Argentina,2012,4078.0,735.0,4813.0
ARG,Argentina,2013,4129.0,643.0,4772.0
ARG,Argentina,2014,4173.0,509.0,4682.0
ARG,Argentina,2015,3579.0,546.0,4125.0
ARG,Argentina,2016,2925.0,884.0,3809.0
ARG,Argentina,2017,3050.0,393.0,3443.0
ARG,Argentina,2018,3242.0,425.0,3667.0
ARG,Argentina,2019,3260.0,442.0,3702.0
ARG,Argentina,2020,2562.0,930.0,3492.0
ARG,Argentina,2021,3263.0,406.0,3669.0
ARM,Armenia,1993,30.0,184.0,214.0
ARM,Armenia,1994,79.0,154.0,233.0
ARM,Armenia,1995,98.0,187.0,285.0
ARM,Armenia,1996,154.0,162.0,316.0
ARM,Armenia,1997,121.0,62.0,183.0
ARM,Armenia,1998,8.0,75.0,83.0
ARM,Armenia,1999,16.0,109.0,125.0
ARM,Armenia,2000,8.0,119.0,127.0
ARM,Armenia,2001,15.0,140.0,155.0
ARM,Armenia,2002,7.0,200.0,207.0
ARM,Armenia,2003,6.0,151.0,157.0
ARM,Armenia,2005,2.0,206.0,208.0
ARM,Armenia,2006,1.0,192.0,193.0
ARM,Armenia,2007,5.0,135.0,140.0
ARM,Armenia,2008,4.0,226.0,230.0
ARM,Armenia,2009,11.0,116.0,127.0
ARM,Armenia,2010,6.0,136.0,142.0
ARM,Armenia,2011,19.0,121.0,140.0
ARM,Armenia,2012,4.0,137.0,141.0
ARM,Armenia,2013,6.0,125.0,131.0
ARM,Armenia,2014,2.0,121.0,123.0
ARM,Armenia,2015,2.0,113.0,115.0
ARM,Armenia,2016,1.0,125.0,126.0
ARM,Armenia,2017,3.0,107.0,110.0
ARM,Armenia,2018,4.0,101.0,105.0
ARM,Armenia,2019,4.0,112.0,116.0
ARM,Armenia,2020,7.0,63.0,70.0
ARM,Armenia,2021,8.0,40.0,48.0
ATG,Antigua and Barbuda,2011,8.0,,8.0
ATG,Antigua and Barbuda,2012,7.0,,7.0
ATG,Antigua and Barbuda,2013,7.0,,7.0
ATG,Antigua and Barbuda,2014,15.0,,15.0
ATG,Antigua and Barbuda,2015,10.0,,10.0
ATG,Antigua and Barbuda,2016,12.0,,12.0
ATG,Antigua and Barbuda,2017,8.0,,8.0
ATG,Antigua and Barbuda,2018,5.0,5.0,10.0
ATG,Antigua and Barbuda,2020,3.0,,3.0
ATG,Antigua and Barbuda,2021,8.0,,8.0
AUS,Australia,1980,10259.0,397.0,10656.0
AUS,Australia,1981,11378.0,458.0,11836.0
AUS,Australia,1982,11373.0,369.0,11742.0
AUS,Australia,1983,11542.0,446.0,11988.0
AUS,Australia,1984,12178.0,565.0,12743.0
AUS,Australia,1985,12132.0,699.0,12831.0
AUS,Australia,1986,12349.0,967.0,13316.0
AUS,Australia,1987,12611.0,1131.0,13742.0
AUS,Australia,1988,12431.0,1418.0,13849.0
AUS,Australia,1989,12901.0,1649.0,14550.0
AUS,Australia,1990,13278.0,1712.0,14990.0
AUS,Australia,1991,11762.0,1717.0,13479.0
AUS,Australia,1992,12100.0,1695.0,13795.0
AUS,Australia,1993,11284.0,1663.0,12947.0
AUS,Australia,1994,11647.0,1699.0,13346.0
AUS,Australia,1995,12277.0,1784.0,14061.0
AUS,Australia,1996,13221.0,1797.0,15018.0
AUS,Australia,1997,15398.0,1760.0,17158.0
AUS,Australia,1998,16063.0,1862.0,17925.0
AUS,Australia,1999,17960.0,1858.0,19818.0
AUS,Australia,2000,20073.0,1928.0,22001.0
AUS,Australia,2001,20548.0,2187.0,22735.0
AUS,Australia,2002,20181.0,2364.0,22545.0
AUS,Australia,2003,19176.0,2418.0,21594.0
AUS,Australia,2004,20274.0,2559.0,22833.0
AUS,Australia,2005,21302.0,2555.0,23857.0
AUS,Australia,2006,23166.0,2837.0,26003.0
AUS,Australia,2007,24122.0,2718.0,26840.0
AUS,Australia,2008,23525.0,2821.0,26346.0
AUS,Australia,2009,21187.0,2494.0,23681.0
AUS,Australia,2010,22478.0,2409.0,24887.0
AUS,Australia,2011,23143.0,2383.0,25526.0
AUS,Australia,2012,23731.0,2627.0,26358.0
AUS,Australia,2013,26656.0,3061.0,29717.0
AUS,Australia,2014,23968.0,1988.0,25956.0
AUS,Australia,2015,26314.0,2291.0,28605.0
AUS,Australia,2016,25774.0,2620.0,28394.0
AUS,Australia,2017,26403.0,2503.0,28906.0
AUS,Australia,2018,27200.0,2757.0,29957.0
AUS,Australia,2019,27121.0,2637.0,29758.0
AUS,Australia,2020,26926.0,2368.0,29294.0
AUS,Australia,2021,29443.0,2966.0,32409.0
AUT,Austria,1980,4166.0,2327.0,6493.0
AUT,Austria,1981,3428.0,2390.0,5818.0
AUT,Austria,1982,2620.0,2233.0,4853.0
AUT,Austria,1983,2322.0,2345.0,4667.0
AUT,Austria,1984,1891.0,2324.0,4215.0
AUT,Austria,1985,1591.0,2269.0,3860.0
AUT,Austria,1986,1336.0,2210.0,3546.0
AUT,Austria,1987,1272.0,2249.0,3521.0
AUT,Austria,1988,1048.0,2212.0,3260.0
AUT,Austria,1989,915.0,2105.0,3020.0
AUT,Austria,1990,670.0,2025.0,2695.0
AUT,Austria,1991,544.0,2076.0,2620.0
AUT,Austria,1992,517.0,2117.0,2634.0
AUT,Austria,1993,513.0,2190.0,2703.0
AUT,Austria,1994,516.0,1989.0,2505.0
AUT,Austria,1995,458.0,1728.0,2186.0
AUT,Austria,1996,449.0,1909.0,2358.0
AUT,Austria,1997,397.0,1910.0,2307.0
AUT,Austria,1998,349.0,1957.0,2306.0
AUT,Austria,1999,341.0,2028.0,2369.0
AUT,Austria,2000,340.0,1961.0,2301.0
AUT,Austria,2001,284.0,1815.0,2099.0
AUT,Austria,2002,329.0,1932.0,2261.0
AUT,Austria,2003,213.0,2120.0,2333.0
AUT,Austria,2004,266.0,2248.0,2514.0
AUT,Austria,2005,235.0,2270.0,2505.0
AUT,Austria,2006,378.0,2271.0,2649.0
AUT,Austria,2007,287.0,2385.0,2672.0
AUT,Austria,2008,329.0,2298.0,2627.0
AUT,Austria,2009,292.0,2263.0,2555.0
AUT,Austria,2010,249.0,2424.0,2673.0
AUT,Austria,2011,276.0,2154.0,2430.0
AUT,Austria,2012,294.0,2258.0,2552.0
AUT,Austria,2013,244.0,2162.0,2406.0
AUT,Austria,2014,271.0,2092.0,2363.0
AUT,Austria,2015,236.0,2205.0,2441.0
AUT,Austria,2016,237.0,2078.0,2315.0
AUT,Austria,2017,232.0,2073.0,2305.0
AUT,Austria,2018,168.0,2039.0,2207.0
AUT,Austria,2019,208.0,2066.0,2274.0
AUT,Austria,2020,173.0,2124.0,2297.0
AUT,Austria,2021,175.0,1872.0,2047.0
AZE,Azerbaijan,1995,30.0,221.0,251.0
AZE,Azerbaijan,1996,17.0,165.0,182.0
AZE,Azerbaijan,2001,10.0,203.0,213.0
AZE,Azerbaijan,2002,7.0,234.0,241.0
AZE,Azerbaijan,2003,18.0,246.0,264.0
AZE,Azerbaijan,2004,7.0,270.0,277.0
AZE,Azerbaijan,2005,6.0,281.0,287.0
AZE,Azerbaijan,2006,13.0,246.0,259.0
AZE,Azerbaijan,2007,8.0,287.0,295.0
AZE,Azerbaijan,2008,7.0,226.0,233.0
AZE,Azerbaijan,2009,17.0,264.0,281.0
AZE,Azerbaijan,2010,17.0,254.0,271.0
AZE,Azerbaijan,2011,12.0,193.0,205.0
AZE,Azerbaijan,2012,,144.0,144.0
AZE,Azerbaijan,2013,,156.0,156.0
AZE,Azerbaijan,2014,,168.0,168.0
AZE,Azerbaijan,2015,,184.0,184.0
AZE,Azerbaijan,2016,19.0,144.0,163.0
AZE,Azerbaijan,2017,22.0,204.0,226.0
AZE,Azerbaijan,2018,16.0,155.0,171.0
AZE,Azerbaijan,2019,20.0,147.0,167.0
AZE,Azerbaijan,2020,18.0,90.0,108.0
AZE,Azerbaijan,2021,16.0,119.0,135.0
BDI,Burundi,1980,10.0,,10.0
BDI,Burundi,1981,5.0,,5.0
BDI,Burundi,1982,2.0,,2.0
BDI,Burundi,1983,2.0,,2.0
BDI,Burundi,1984,7.0,,7.0
BDI,Burundi,1986,2.0,,2.0
BDI,Burundi,1989,1.0,1.0,2.0
BDI,Burundi,1990,3.0,,3.0
BDI,Burundi,1992,2.0,,2.0
BDI,Burundi,1993,1.0,,1.0
BDI,Burundi,1994,4.0,,4.0
BDI,Burundi,1995,1.0,,1.0
BDI,Burundi,1996,4.0,1.0,5.0
BDI,Burundi,2017,10.0,3.0,13.0
BDI,Burundi,2018,2.0,2.0,4.0
BDI,Burundi,2019,15.0,,15.0
BDI,Burundi,2020,5.0,2.0,7.0
BEL,Belgium,1980,5104.0,865.0,5969.0
BEL,Belgium,1981,3918.0,806.0,4724.0
BEL,Belgium,1982,2944.0,914.0,3858.0
BEL,Belgium,1983,2261.0,805.0,3066.0
BEL,Belgium,1984,1966.0,869.0,2835.0
BEL,Belgium,1985,1476.0,771.0,2247.0
BEL,Belgium,1986,1334.0,794.0,2128.0
BEL,Belgium,1987,889.0,548.0,1437.0
BEL,Belgium,1988,776.0,636.0,1412.0
BEL,Belgium,1989,663.0,681.0,1344.0
BEL,Belgium,1990,613.0,643.0,1256.0
BEL,Belgium,1991,574.0,625.0,1199.0
BEL,Belgium,1992,499.0,675.0,1174.0
BEL,Belgium,1993,679.0,809.0,1488.0
BEL,Belgium,1994,446.0,744.0,1190.0
BEL,Belgium,1995,355.0,732.0,1087.0
BEL,Belgium,1996,310.0,776.0,1086.0
BEL,Belgium,1997,269.0,792.0,1061.0
BEL,Belgium,1998,249.0,690.0,939.0
BEL,Belgium,1999,249.0,591.0,840.0
BEL,Belgium,2000,243.0,577.0,820.0
BEL,Belgium,2001,264.0,571.0,835.0
BEL,Belgium,2002,147.0,601.0,748.0
BEL,Belgium,2003,188.0,519.0,707.0
BEL,Belgium,2004,122.0,514.0,636.0
BEL,Belgium,2005,105.0,517.0,622.0
BEL,Belgium,2006,161.0,490.0,651.0
BEL,Belgium,2007,163.0,454.0,617.0
BEL,Belgium,2008,133.0,575.0,708.0
BEL,Belgium,2009,148.0,669.0,817.0
BEL,Belgium,2010,140.0,620.0,760.0
BEL,Belgium,2011,127.0,636.0,763.0
BEL,Belgium,2012,127.0,755.0,882.0
BEL,Belgium,2013,161.0,715.0,876.0
BEL,Belgium,2014,137.0,889.0,1026.0
BEL,Belgium,2015,148.0,949.0,1097.0
BEL,Belgium,2016,119.0,1054.0,1173.0
BEL,Belgium,2017,216.0,1001.0,1217.0
BEL,Belgium,2018,218.0,892.0,1110.0
BEL,Belgium,2019,257.0,876.0,1133.0
BEL,Belgium,2020,288.0,862.0,1150.0
BEL,Belgium,2021,415.0,799.0,1214.0
BFA,Burkina Faso,1998,,2.0,2.0
BFA,Burkina Faso,1999,,4.0,4.0
BFA,Burkina Faso,2000,,2.0,2.0
BFA,Burkina Faso,2003,,1.0,1.0
BFA,Burkina Faso,2004,,2.0,2.0
BFA,Burkina Faso,2005,,1.0,1.0
BFA,Burkina Faso,2010,,2.0,2.0
BGD,Bangladesh,1980,102.0,34.0,136.0
BGD,Bangladesh,1981,133.0,39.0,172.0
BGD,Bangladesh,1982,104.0,40.0,144.0
BGD,Bangladesh,1983,123.0,40.0,163.0
BGD,Bangladesh,1984,104.0,62.0,166.0
BGD,Bangladesh,1985,96.0,40.0,136.0
BGD,Bangladesh,1986,77.0,16.0,93.0
BGD,Bangladesh,1987,98.0,23.0,121.0
BGD,Bangladesh,1988,109.0,24.0,133.0
BGD,Bangladesh,1989,76.0,32.0,108.0
BGD,Bangladesh,1990,76.0,32.0,108.0
BGD,Bangladesh,1991,77.0,36.0,113.0
BGD,Bangladesh,1992,89.0,72.0,161.0
BGD,Bangladesh,1993,71.0,36.0,107.0
BGD,Bangladesh,1994,89.0,39.0,128.0
BGD,Bangladesh,1995,156.0,70.0,226.0
BGD,Bangladesh,1996,131.0,22.0,153.0
BGD,Bangladesh,1997,119.0,46.0,165.0
BGD,Bangladesh,1998,184.0,32.0,216.0
BGD,Bangladesh,1999,200.0,49.0,249.0
BGD,Bangladesh,2000,248.0,70.0,318.0
BGD,Bangladesh,2001,236.0,59.0,295.0
BGD,Bangladesh,2002,246.0,43.0,289.0
BGD,Bangladesh,2003,260.0,58.0,318.0
BGD,Bangladesh,2004,268.0,48.0,316.0
BGD,Bangladesh,2005,294.0,50.0,344.0
BGD,Bangladesh,2006,288.0,22.0,310.0
BGD,Bangladesh,2007,270.0,29.0,299.0
BGD,Bangladesh,2008,278.0,60.0,338.0
BGD,Bangladesh,2009,275.0,55.0,330.0
BGD,Bangladesh,2010,276.0,66.0,342.0
BGD,Bangladesh,2011,269.0,37.0,306.0
BGD,Bangladesh,2012,287.0,67.0,354.0
BGD,Bangladesh,2013,243.0,60.0,303.0
BGD,Bangladesh,2014,249.0,44.0,293.0
BGD,Bangladesh,2015,299.0,41.0,340.0
BGD,Bangladesh,2016,267.0,77.0,344.0
BGD,Bangladesh,2017,241.0,61.0,302.0
BGD,Bangladesh,2018,299.0,69.0,368.0
BGD,Bangladesh,2019,345.0,68.0,413.0
BGD,Bangladesh,2020,362.0,40.0,402.0
BGD,Bangladesh,2021,373.0,74.0,447.0
BGR,Bulgaria,1980,804.0,3297.0,4101.0
BGR,Bulgaria,1981,871.0,3673.0,4544.0
BGR,Bulgaria,1982,717.0,3628.0,4345.0
BGR,Bulgaria,1983,728.0,3811.0,4539.0
BGR,Bulgaria,1984,738.0,3843.0,4581.0
BGR,Bulgaria,1985,248.0,2.0,250.0
BGR,Bulgaria,1986,211.0,1.0,212.0
BGR,Bulgaria,1987,311.0,3.0,314.0
BGR,Bulgaria,1988,253.0,6.0,259.0
BGR,Bulgaria,1989,267.0,63.0,330.0
BGR,Bulgaria,1990,331.0,198.0,529.0
BGR,Bulgaria,1991,326.0,422.0,748.0
BGR,Bulgaria,1992,351.0,329.0,680.0
BGR,Bulgaria,1993,152.0,412.0,564.0
BGR,Bulgaria,1994,531.0,319.0,850.0
BGR,Bulgaria,1995,363.0,368.0,731.0
BGR,Bulgaria,1996,407.0,316.0,723.0
BGR,Bulgaria,1997,538.0,394.0,932.0
BGR,Bulgaria,1998,524.0,274.0,798.0
BGR,Bulgaria,1999,616.0,282.0,898.0
BGR,Bulgaria,2000,709.0,231.0,940.0
BGR,Bulgaria,2001,785.0,283.0,1068.0
BGR,Bulgaria,2002,735.0,289.0,1024.0
BGR,Bulgaria,2003,680.0,278.0,958.0
BGR,Bulgaria,2004,133.0,263.0,396.0
BGR,Bulgaria,2005,52.0,261.0,313.0
BGR,Bulgaria,2006,48.0,243.0,291.0
BGR,Bulgaria,2007,28.0,211.0,239.0
BGR,Bulgaria,2008,22.0,249.0,271.0
BGR,Bulgaria,2009,24.0,242.0,266.0
BGR,Bulgaria,2010,17.0,243.0,260.0
BGR,Bulgaria,2011,21.0,262.0,283.0
BGR,Bulgaria,2012,14.0,245.0,259.0
BGR,Bulgaria,2013,15.0,282.0,297.0
BGR,Bulgaria,2014,16.0,218.0,234.0
BGR,Bulgaria,2015,11.0,280.0,291.0
BGR,Bulgaria,2016,11.0,230.0,241.0
BGR,Bulgaria,2017,23.0,202.0,225.0
BGR,Bulgaria,2018,18.0,180.0,198.0
BGR,Bulgaria,2019,7.0,186.0,193.0
BGR,Bulgaria,2020,7.0,239.0,246.0
BGR,Bulgaria,2021,6.0,165.0,171.0
BHR,Bahrain,1980,47.0,,47.0
BHR,Bahrain,1981,28.0,1.0,29.0
BHR,Bahrain,1982,41.0,,41.0
BHR,Bahrain,1983,28.0,,28.0
BHR,Bahrain,1984,65.0,,65.0
BHR,Bahrain,1985,16.0,,16.0
BHR,Bahrain,1986,20.0,,20.0
BHR,Bahrain,1992,31.0,,31.0
BHR,Bahrain,2011,139.0,1.0,140.0
BHR,Bahrain,2012,161.0,3.0,164.0
BHR,Bahrain,2013,167.0,3.0,170.0
BHR,Bahrain,2014,199.0,6.0,205.0
BHR,Bahrain,2015,185.0,8.0,193.0
BHR,Bahrain,2016,171.0,6.0,177.0
BHR,Bahrain,2017,237.0,8.0,245.0
BHR,Bahrain,2018,219.0,11.0,230.0
BHR,Bahrain,2019,322.0,4.0,326.0
BHR,Bahrain,2020,257.0,7.0,264.0
BHR,Bahrain,2021,326.0,3.0,329.0
BHS,"Bahamas, The",1981,51.0,2.0,53.0
BHS,"Bahamas, The",1982,50.0,3.0,53.0
BHS,"Bahamas, The",1984,38.0,3.0,41.0
BHS,"Bahamas, The",1985,42.0,3.0,45.0
BHS,"Bahamas, The",1986,37.0,1.0,38.0
BHS,"Bahamas, The",1988,32.0,4.0,36.0
BHS,"Bahamas, The",1990,25.0,2.0,27.0
BHS,"Bahamas, The",1991,27.0,1.0,28.0
BHS,"Bahamas, The",1992,29.0,2.0,31.0
BHS,"Bahamas, The",2012,83.0,3.0,86.0
BHS,"Bahamas, The",2013,75.0,1.0,76.0
BHS,"Bahamas, The",2014,113.0,1.0,114.0
BHS,"Bahamas, The",2015,68.0,2.0,70.0
BHS,"Bahamas, The",2016,34.0,3.0,37.0
BHS,"Bahamas, The",2017,48.0,4.0,52.0
BIH,Bosnia and Herzegovina,1999,105.0,23.0,128.0
BIH,Bosnia and Herzegovina,2000,242.0,31.0,273.0
BIH,Bosnia and Herzegovina,2001,309.0,52.0,361.0
BIH,Bosnia and Herzegovina,2003,242.0,32.0,274.0
BIH,Bosnia and Herzegovina,2004,346.0,50.0,396.0
BIH,Bosnia and Herzegovina,2005,306.0,66.0,372.0
BIH,Bosnia and Herzegovina,2006,162.0,55.0,217.0
BIH,Bosnia and Herzegovina,2008,12.0,59.0,71.0
BIH,Bosnia and Herzegovina,2010,9.0,56.0,65.0
BIH,Bosnia and Herzegovina,2011,12.0,43.0,55.0
BIH,Bosnia and Herzegovina,2012,14.0,2.0,16.0
BIH,Bosnia and Herzegovina,2013,22.0,7.0,29.0
BIH,Bosnia and Herzegovina,2014,2.0,41.0,43.0
BIH,Bosnia and Herzegovina,2016,6.0,60.0,66.0
BIH,Bosnia and Herzegovina,2017,12.0,87.0,99.0
BIH,Bosnia and Herzegovina,2018,12.0,84.0,96.0
BIH,Bosnia and Herzegovina,2019,14.0,45.0,59.0
BIH,Bosnia and Herzegovina,2020,5.0,50.0,55.0
BIH,Bosnia and Herzegovina,2021,8.0,53.0,61.0
BLR,Belarus,1993,666.0,828.0,1494.0
BLR,Belarus,1994,1005.0,683.0,1688.0
BLR,Belarus,1995,415.0,624.0,1039.0
BLR,Belarus,1996,361.0,698.0,1059.0
BLR,Belarus,1997,414.0,752.0,1166.0
BLR,Belarus,1998,79.0,910.0,989.0
BLR,Belarus,1999,345.0,993.0,1338.0
BLR,Belarus,2000,204.0,994.0,1198.0
BLR,Belarus,2001,214.0,930.0,1144.0
BLR,Belarus,2002,379.0,895.0,1274.0
BLR,Belarus,2003,298.0,1082.0,1380.0
BLR,Belarus,2004,200.0,1065.0,1265.0
BLR,Belarus,2005,296.0,1166.0,1462.0
BLR,Belarus,2006,337.0,1188.0,1525.0
BLR,Belarus,2007,257.0,1405.0,1662.0
BLR,Belarus,2008,220.0,1510.0,1730.0
BLR,Belarus,2009,173.0,1753.0,1926.0
BLR,Belarus,2010,174.0,1759.0,1933.0
BLR,Belarus,2011,146.0,1725.0,1871.0
BLR,Belarus,2012,190.0,1681.0,1871.0
BLR,Belarus,2013,145.0,1489.0,1634.0
BLR,Belarus,2014,105.0,652.0,757.0
BLR,Belarus,2015,148.0,543.0,691.0
BLR,Belarus,2016,66.0,455.0,521.0
BLR,Belarus,2017,90.0,434.0,524.0
BLR,Belarus,2018,94.0,453.0,547.0
BLR,Belarus,2019,95.0,298.0,393.0
BLR,Belarus,2020,77.0,317.0,394.0
BLR,Belarus,2021,110.0,276.0,386.0
BLZ,Belize,2004,16.0,,16.0
BLZ,Belize,2005,33.0,,33.0
