country_code,country_name,year,education_component,patents_component,infrastructure_component,governance_component,H7_evolutionary_progression
ALB,,2002,0.3798528576678231,0.3334143413160536,0.4179983203938848,0.4339363999097242,0.3893140462981561
ALB,,2003,0.3835795183699851,0.3679035601806421,0.4286422620605515,0.4339531492744312,0.40251475797558584
ALB,,2005,0.3611581363217613,0.3670087649174213,0.4587928146205646,0.4235093825637884,0.4006022376745913
ALB,,2009,0.4270728748785617,0.3623539253825192,0.5943904535094535,0.5002162123047738,0.4631441011009886
ALB,Albania,2011,0.6351463878993573,0.124892074211302,0.716155,0.4887298168369716,0.4081982549426857
ALB,,2013,0.5088419344775218,0.0638687569675065,0.7574025000000001,0.4902834415541055,0.3314448915650671
ALB,,2014,0.5193559513838957,0.1356369305803341,0.75181375,0.5302884188077988,0.4093703348446964
ALB,,2015,0.5116033452338331,0.1604984559874804,0.761975,0.526562236099022,0.42603832302603767
ALB,,2016,0.4975071188674317,0.1787861881027652,0.7686675,0.5301055469673321,0.43632342835708626
ALB,Albania,2017,0.6579945979212134,0.176052363445,0.7884375,0.5325308081894541,0.46961725908593094
ALB,,2018,0.4917959863670978,0.1569231290313727,0.7591288749999999,0.52985156515679,0.41974489026680556
ALB,,2019,0.4971035090684254,0.0765772247013151,0.765674375,0.5144531055171689,0.3499323468081115
ALB,,2021,0.4827213527248962,0.176052363445,0.8009919374999999,0.5171458141000163,0.4331565460090214
AND,,2016,0.3981850299879577,0.0483148495099869,0.8496549999999999,0.8135532806740026,0.33958503589870137
AND,,2017,0.3986974242335266,0.0873220810703472,0.8597884374999999,0.828621372563534,0.39685221590386427
AND,,2018,0.4017918052098834,0.124892074211302,0.8362090909090908,0.823870729503679,0.43119873476697
AND,,2019,0.4022653790797916,0.1449445485299607,0.8646871874999998,0.8314502709582131,0.4524832023317083
AND,,2020,0.4020264332985092,0.1048395998926434,0.8586137499999998,0.8383640548014187,0.41735210960686026
AND,,2021,0.4050130315521332,0.124892074211302,0.8805396874999999,0.8382854505202056,0.4395782389634149
ARE,,2010,0.0906999999999999,0.4508759414557907,0.8468412500000001,0.6098861115804884,0.38122271882188313
ARE,,2018,0.4978068496325896,0.473411690498075,0.8846809355361988,0.6599864984596014,0.6090534273947754
ARE,United Arab Emirates,2019,0.6597219192790563,0.477883345246713,0.8866155652339863,0.6582324615351424,0.6549367556915513
ARE,,2020,0.4966223560670898,0.4782494363917688,0.8828300096784306,0.6575099064242782,0.6093474951766062
ARE,United Arab Emirates,2021,0.6649948150278084,0.4948974095161086,0.8737653799806431,0.6572683996072919,0.6593526505860581
ARG,,1996,0.4898697896179063,0.5468809791133367,0.4147713665866234,0.5759601755327427,0.5029718445255754
ARG,,1998,0.4473852129752977,0.5617054013767744,0.4266266511949025,0.5625827098904085,0.49557129998449023
ARG,,2000,0.4422569063585895,0.5651057260492249,0.462476125,0.5455169053946886,0.5011012264803231
ARG,,2002,0.5153741380133677,0.5434132581999903,0.4760285625,0.4397384189109345,0.4920622730773234
ARG,,2003,0.5124074223579385,0.5389127797921746,0.4840548125,0.4666616463706724,0.4997555621848478
ARG,,2004,0.5134679720045111,0.5395975711793709,0.5158164375,0.4635185089602117,0.5073251599783823
ARG,,2005,0.4469500781753215,0.5490300077094413,0.4897172765168555,0.4886092824901417,0.4922554799909602
ARG,,2006,0.51044594484793,0.5534872295347935,0.5310169904578852,0.4956080307399282,0.5221869675464335
ARG,,2007,0.511153169181357,0.5550332624289634,0.6325356249999999,0.4980627650133666,0.5467764280301831
ARG,,2008,0.5182616733403216,0.5530516195494803,0.6582293749999999,0.4766691476236506,0.547617434199943
ARG,,2009,0.5295999993205178,0.5450427486651069,0.6947024999999999,0.4584298306039456,0.5506334220420805
ARG,,2010,0.4771021548662719,0.5413176269779721,0.7456900000000001,0.4824787524446833,0.5521092390622867
ARG,,2011,0.5489723218927615,0.5428374301107447,0.7743887499999998,0.4931477168023471,0.5808166720731618
ARG,,2012,0.553810060882027,0.5427216914477242,0.7986549999999999,0.4728834155261997,0.580447345940657
ARG,,2013,0.5558587627874902,0.5421254956057636,0.7381364441990758,0.4675619367479348,0.567884508361563
ARG,,2014,0.562540601673139,0.5407986104787837,0.7365631108657423,0.4564485797909551,0.5655198015279257
ARG,,2015,0.5687848183716689,0.5319720084613866,0.8266234375,0.4704285136667557,0.5856788381216206
ARG,,2016,0.5764221282760467,0.5264180800929559,0.7564575777341567,0.5334541758646998,0.5915456765919626
ARG,,2017,0.5795367169534592,0.5193783236366877,0.7600972999563789,0.5386840846635237,0.5925050110843589
ARG,,2018,0.579453570135544,0.5237705539496833,0.7602138216169796,0.5391068593147884,0.5938716385622482
ARG,,2019,0.5876717989905256,0.5244325113823404,0.7598765993947574,0.5155558916339628,0.589468796391871
ARG,Argentina,2020,0.7287778194566297,0.5203630527418797,0.8562087499999999,0.5066330523856671,0.6368595931899166
ARG,,2021,0.6171859172581323,0.5238085499134421,0.8727871875000001,0.4913487661025439,0.6101993008581716
ARM,,1996,0.3530000978094916,0.353101300409149,0.0010675402357426,0.4426872730368656,0.0876070099404773
ARM,,1998,0.3881739493499938,0.2605290047916362,0.0016467448957426,0.4238624153636671,0.09166075397787873
ARM,,2000,0.3592152705877826,0.2898890970599214,0.3892502587092245,0.4234859743895892,0.36196256185694753
ARM,,2002,0.3441943325716323,0.3237307366327259,0.3894842950115186,0.4638200424867608,0.37666631049145144
ARM,,2003,0.3520128744212152,0.3045662181921293,0.4026129227892964,0.4867817744000871,0.3807286637062421
ARM,,2005,0.3924729501269565,0.3240650470759242,0.4662644375,0.467017478514764,0.4079452091161252
ARM,,2006,0.459956890554852,0.318873795749301,0.448246971458853,0.4527191934059414,0.41535606653502044
ARM,,2007,0.4888188937396198,0.2966314996499842,0.5316620312499999,0.4588293827719994,0.43367364456004875
ARM,,2008,0.4927202757841421,0.3310412238162138,0.4575530118185907,0.4648878021202895,0.4315866680792032
ARM,,2009,0.5065960216682979,0.2898890970599214,0.5752514999999999,0.4745182570651897,0.44745677244594695
ARM,,2010,0.4442688138656337,0.2976132566373297,0.6044792340462657,0.4624815755573135,0.4384736307670708
ARM,Armenia,2011,0.6421994721422358,0.2966314996499842,0.672625,0.4683967507449156,0.4949581988343224
ARM,,2012,0.3624885914710277,0.2971241066033441,0.69462125,0.4895455829689475,0.4374650462171461
ARM,,2013,0.4306324568181091,0.2920339922558534,0.7089375,0.4926849059485277,0.4578037470123205
ARM,,2014,0.4317226631394322,0.2876760986892611,0.671297791954634,0.4628119807571687,0.44320750909568624
ARM,,2015,0.4309149172578202,0.2830274702119519,0.6851633475101896,0.4604065764582508,0.44288292811632046
ARM,Armenia,2016,0.6632832973826239,0.2893423994041602,0.6979114611704086,0.4556662745360513,0.49703799540400084
ARM,Armenia,2017,0.6648764978014656,0.2799563305809857,0.7008618391403918,0.4597422937310049,0.49487388540587635
ARM,,2018,0.4337981291982018,0.2767436147673967,0.7150626746888589,0.498620060326981,0.4548516610226542
ARM,,2019,0.4379566965604296,0.2836257879954086,0.7125193413555254,0.5090959864516786,0.4607266185886632
ARM,Armenia,2020,0.6267751574778189,0.2488092570933572,0.7358276746888589,0.5051308512504951,0.4906700843222564
ARM,,2021,0.4580488338129215,0.2229590116506813,0.7469104524666367,0.5036476768018079,0.44272398007247205
ATG,,2011,0.4946923942573542,0.1048395998926434,0.8263749999999999,0.7044422581336808,0.41684134612427926
ATG,,2012,0.5066118706472671,0.0966296990199737,0.8012237499999999,0.7088165566433896,0.40833669937997247
ATG,,2013,0.5119418767183896,0.0966296990199737,0.7979474999999999,0.703401458316773,0.4082039627621491
ATG,,2014,0.6161408347173439,0.1449445485299607,0.8183562499999999,0.6214712635337519,0.46164839871330227
