indicator_code,indicator_name,country_code,country_name,year,value
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2023,-1.15493178367615
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2022,-1.18368434906006
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2021,-1.15226578712463
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2020,-1.49336087703705
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2019,-1.41931009292603
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2018,-1.50287592411041
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2017,-1.53007459640503
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2016,-1.54022777080536
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2015,-1.35471308231354
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2014,-1.36493408679962
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2013,-1.44596064090729
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2012,-1.43037283420563
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2011,-1.60047078132629
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2010,-1.64539110660553
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2009,-1.55229878425598
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2008,-1.67209553718567
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2007,-1.61325109004974
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2006,-1.44629228115082
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2005,-1.44725239276886
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2004,-1.35064733028412
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2003,-1.34417974948883
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2002,-1.25113701820374
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,2000,-1.27172422409058
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,1998,-1.17601227760315
CC.EST,Control of Corruption: Estimate,AFG,Afghanistan,1996,-1.29170477390289
CC.EST,Control of Corruption: Estimate,ALB,Albania,2023,-0.332218527793884
CC.EST,Control of Corruption: Estimate,ALB,Albania,2022,-0.408189445734024
CC.EST,Control of Corruption: Estimate,ALB,Albania,2021,-0.577179968357086
CC.EST,Control of Corruption: Estimate,ALB,Albania,2020,-0.573538780212402
CC.EST,Control of Corruption: Estimate,ALB,Albania,2019,-0.564274072647095
CC.EST,Control of Corruption: Estimate,ALB,Albania,2018,-0.546018898487091
CC.EST,Control of Corruption: Estimate,ALB,Albania,2017,-0.481386840343475
CC.EST,Control of Corruption: Estimate,ALB,Albania,2016,-0.472373723983765
CC.EST,Control of Corruption: Estimate,ALB,Albania,2015,-0.54514080286026
CC.EST,Control of Corruption: Estimate,ALB,Albania,2014,-0.5865718126297
CC.EST,Control of Corruption: Estimate,ALB,Albania,2013,-0.751372694969177
CC.EST,Control of Corruption: Estimate,ALB,Albania,2012,-0.778729438781738
CC.EST,Control of Corruption: Estimate,ALB,Albania,2011,-0.701794147491455
CC.EST,Control of Corruption: Estimate,ALB,Albania,2010,-0.531616508960724
CC.EST,Control of Corruption: Estimate,ALB,Albania,2009,-0.545270919799805
CC.EST,Control of Corruption: Estimate,ALB,Albania,2008,-0.605212390422821
CC.EST,Control of Corruption: Estimate,ALB,Albania,2007,-0.706940054893494
CC.EST,Control of Corruption: Estimate,ALB,Albania,2006,-0.790545284748077
CC.EST,Control of Corruption: Estimate,ALB,Albania,2005,-0.813263893127441
CC.EST,Control of Corruption: Estimate,ALB,Albania,2004,-0.723731815814972
CC.EST,Control of Corruption: Estimate,ALB,Albania,2003,-0.853786587715149
CC.EST,Control of Corruption: Estimate,ALB,Albania,2002,-0.8453409075737
CC.EST,Control of Corruption: Estimate,ALB,Albania,2000,-0.855563640594482
CC.EST,Control of Corruption: Estimate,ALB,Albania,1998,-0.992024779319763
CC.EST,Control of Corruption: Estimate,ALB,Albania,1996,-0.893903493881226
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2023,-0.589308321475983
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2022,-0.638041079044342
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2021,-0.635961413383484
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2020,-0.666826963424683
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2019,-0.656169533729553
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2018,-0.658903956413269
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2017,-0.598896265029907
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2016,-0.673700511455536
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2015,-0.639462769031525
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2014,-0.61311799287796
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2013,-0.472966939210892
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2012,-0.521544516086578
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2011,-0.572699666023254
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2010,-0.552147269248962
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2009,-0.614938259124756
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2008,-0.633444845676422
CC.EST,Control of Corruption: Estimate,DZA,Algeria,2007,-0.592309474945068
